"","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"86513",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1115,NaN,NaN
"86514",NaN,NaN,2650,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86515",NaN,NaN,NaN,NaN,NaN,NaN,NaN,275,NaN,NaN
"86516",270,50,809,293,30,1032,325,597,NaN,2551
"86517",NaN,NaN,NaN,NaN,NaN,NaN,13,NaN,7,NaN
"86518",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,378,NaN
"86520",234,NaN,814,300,NaN,NaN,490,591,NaN,2597
"86521",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1576,NaN,NaN
"86523",235,NaN,2804,710,NaN,NaN,350,NaN,NaN,2598
"86527",NaN,NaN,NaN,NaN,NaN,NaN,420,NaN,NaN,NaN
"86528",NaN,NaN,NaN,NaN,363,NaN,NaN,NaN,NaN,NaN
"86529",NaN,NaN,1656,NaN,2356,NaN,NaN,NaN,NaN,NaN
"86530",47,430,163,60,535,NaN,NaN,NaN,NaN,NaN
"86534",166,NaN,814,300,NaN,NaN,773,NaN,2652,2597
"86535",126,NaN,NaN,NaN,369,NaN,NaN,NaN,200,NaN
"86538",NaN,NaN,814,299,81,NaN,728,NaN,NaN,3664
"86541",NaN,NaN,NaN,NaN,NaN,NaN,467,NaN,NaN,NaN
"86542",109,394,5025,300,375,NaN,325,NaN,NaN,7245
"86543",NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86544",NaN,NaN,NaN,NaN,2000,NaN,NaN,NaN,NaN,NaN
"86545",1000,NaN,NaN,NaN,NaN,NaN,NaN,739,200,NaN
"86547",470,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86548",NaN,NaN,NaN,NaN,NaN,NaN,364,NaN,NaN,NaN
"86549",NaN,NaN,NaN,NaN,91,2400,65,119,77,520
"86551",NaN,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86552",NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86553",822,388,NaN,299,456,NaN,568,590,408,3729
"86554",NaN,NaN,163,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86558",234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86560",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19,NaN
"86566",NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86568",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,NaN
"86570",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2041
"86577",234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86578",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27,NaN
"86582",NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86586",NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN
"86587",NaN,NaN,NaN,NaN,NaN,1485,NaN,NaN,NaN,NaN
"86588",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27,NaN
"86589",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,664,NaN
"86590",NaN,NaN,NaN,NaN,NaN,5267,NaN,NaN,NaN,NaN
"86591",280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86592",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5744
"86593",NaN,NaN,NaN,NaN,NaN,1302,NaN,NaN,NaN,NaN
"86594",74,NaN,NaN,NaN,NaN,22,72,12,NaN,1000
"86595",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1325,NaN
"86597",NaN,NaN,NaN,NaN,NaN,3106,NaN,NaN,30,NaN
"86598",224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86599",1382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86600",24,NaN,NaN,NaN,NaN,25,NaN,NaN,NaN,NaN
"86601",NaN,NaN,NaN,NaN,NaN,26,NaN,NaN,NaN,NaN
"86603",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20
"86605",1145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86606",1402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86609",NaN,NaN,NaN,NaN,NaN,25,NaN,NaN,NaN,NaN
"86612",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56,NaN
"86613",NaN,NaN,NaN,NaN,NaN,4071,NaN,NaN,NaN,NaN
"86614",30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86618",NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN
"86620",636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86623",NaN,NaN,NaN,NaN,351,NaN,NaN,NaN,NaN,NaN
"86625",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47,NaN
"86628",NaN,NaN,NaN,NaN,NaN,NaN,45,NaN,NaN,NaN
"86629",50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86632",2150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86633",4318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86635",NaN,NaN,NaN,NaN,NaN,NaN,45,NaN,37,NaN
"86637",NaN,NaN,NaN,NaN,186,NaN,NaN,NaN,NaN,NaN
"86640",NaN,112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86643",NaN,NaN,NaN,NaN,NaN,NaN,26,NaN,NaN,NaN
"86644",NaN,166,NaN,NaN,NaN,NaN,NaN,NaN,34,NaN
"86645",54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86647",NaN,NaN,NaN,NaN,NaN,364,NaN,NaN,NaN,NaN
"86649",NaN,NaN,NaN,NaN,NaN,36,NaN,NaN,NaN,NaN
"86650",NaN,NaN,NaN,NaN,NaN,NaN,528,NaN,NaN,NaN
"86655",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,NaN
"86657",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11221
"86658",NaN,NaN,NaN,NaN,NaN,NaN,467,NaN,NaN,NaN
"86663",1148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86664",NaN,NaN,289,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86665",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,NaN
"86672",NaN,NaN,NaN,NaN,NaN,NaN,312,NaN,NaN,NaN
"86675",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,NaN
"86676",NaN,NaN,NaN,NaN,NaN,NaN,105,NaN,NaN,NaN
"86681",913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86682",266,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86685",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,NaN
"86688",NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86691",NaN,NaN,NaN,NaN,3887,NaN,NaN,NaN,NaN,NaN
"86692",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,647,NaN
"86698",NaN,NaN,NaN,NaN,858,NaN,NaN,NaN,NaN,NaN
"86702",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38,NaN
"86703",NaN,NaN,NaN,NaN,NaN,964,NaN,NaN,NaN,NaN
"86706",739,NaN,578,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86711",NaN,278,NaN,NaN,NaN,NaN,NaN,211,NaN,NaN
"86712",NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,3131,NaN
"86718",NaN,NaN,NaN,NaN,233,NaN,NaN,NaN,158,NaN
"86719",NaN,NaN,NaN,NaN,1942,NaN,NaN,NaN,NaN,NaN
"86721",NaN,NaN,NaN,NaN,58,NaN,NaN,NaN,NaN,NaN
"86722",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN
"86724",NaN,915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86725",NaN,180,NaN,NaN,NaN,NaN,25,NaN,1249,NaN
"86728",NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,40,NaN
"86729",1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86732",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36,NaN
"86737",NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN
"86740",NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,31,NaN
"86750",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,106,NaN
"86751",NaN,NaN,713,NaN,209,NaN,NaN,NaN,NaN,NaN
"86753",NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN
"86755",NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN
"86756",NaN,NaN,NaN,NaN,NaN,NaN,1218,NaN,NaN,NaN
"86757",NaN,NaN,NaN,NaN,NaN,NaN,114,NaN,NaN,NaN
"86760",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,308
"86761",NaN,NaN,NaN,422,209,NaN,NaN,NaN,NaN,NaN
"86764",1108,NaN,503,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86766",NaN,NaN,NaN,NaN,412,NaN,NaN,NaN,10,12500
"86770",NaN,NaN,150,NaN,954,NaN,NaN,NaN,NaN,NaN
"86773",NaN,212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4411
"86775",NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN
"86777",NaN,NaN,465,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86779",2381,282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86780",NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9228
"86781",NaN,NaN,NaN,NaN,912,NaN,NaN,NaN,NaN,NaN
"86783",NaN,NaN,NaN,NaN,449,NaN,NaN,NaN,26,NaN
"86784",NaN,NaN,NaN,NaN,115,NaN,1365,NaN,NaN,1800
"86790",NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
"86795",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1924,NaN
"86797",NaN,NaN,NaN,NaN,30,NaN,NaN,NaN,NaN,NaN
"86798",NaN,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86802",NaN,NaN,NaN,NaN,NaN,NaN,990,NaN,NaN,NaN
"86805",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51,NaN
"86806",NaN,NaN,NaN,159,NaN,NaN,NaN,NaN,NaN,NaN
"86815",NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,51,NaN
"86823",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46,NaN
"86824",NaN,NaN,NaN,NaN,NaN,NaN,995,NaN,NaN,NaN
"86825",NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN
"86826",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4033
"86829",NaN,1001,NaN,NaN,NaN,NaN,NaN,687,NaN,NaN
"86830",NaN,NaN,130,47,NaN,NaN,NaN,533,36,NaN
"86832",NaN,NaN,NaN,NaN,NaN,NaN,NaN,818,NaN,NaN
"86834",NaN,NaN,NaN,NaN,NaN,1433,5575,NaN,NaN,NaN
"86835",NaN,NaN,NaN,NaN,51,NaN,1317,NaN,NaN,NaN
"86837",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33,NaN
"86841",NaN,NaN,NaN,NaN,NaN,NaN,NaN,335,NaN,NaN
"86843",2235,NaN,NaN,NaN,NaN,NaN,NaN,1331,NaN,NaN
"86845",NaN,565,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN
"86847",NaN,NaN,NaN,NaN,NaN,1181,2118,NaN,51,NaN
"86849",391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5000
"86851",NaN,NaN,375,NaN,38,NaN,NaN,NaN,NaN,NaN
"86853",NaN,NaN,NaN,NaN,NaN,NaN,320,NaN,NaN,NaN
"86854",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3154,NaN
"86855",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1514,NaN
"86865",NaN,NaN,NaN,NaN,55,NaN,NaN,NaN,52,NaN
"86869",3390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86870",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28,NaN
"86874",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1854
"86875",770,NaN,NaN,NaN,38,NaN,NaN,NaN,NaN,NaN
"86877",386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,600
"86878",NaN,572,NaN,492,NaN,838,NaN,969,642,NaN
