"","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"190332",NaN,113,NaN,NaN,NaN,NaN,NaN,205,NaN,NaN
"190334",NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN
"190335",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,472
"190336",17,NaN,NaN,NaN,NaN,400,NaN,NaN,NaN,NaN
"190341",NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,95,NaN
"190345",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7210
"190346",NaN,NaN,NaN,NaN,NaN,159,NaN,NaN,NaN,NaN
"190348",NaN,NaN,NaN,105,NaN,NaN,NaN,NaN,NaN,NaN
"190352",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1433
"190353",NaN,411,125,155,NaN,NaN,NaN,NaN,NaN,NaN
"190355",NaN,NaN,NaN,NaN,NaN,188,NaN,NaN,NaN,NaN
"190356",NaN,NaN,NaN,NaN,38,NaN,NaN,NaN,NaN,NaN
"190358",NaN,NaN,NaN,108,NaN,NaN,101,NaN,NaN,NaN
"190359",NaN,NaN,NaN,407,NaN,NaN,NaN,151,NaN,NaN
"190360",NaN,NaN,NaN,NaN,111,NaN,NaN,NaN,NaN,NaN
"190362",NaN,NaN,NaN,NaN,NaN,237,NaN,NaN,NaN,479
"190365",16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190366",NaN,NaN,NaN,85,90,NaN,NaN,NaN,NaN,NaN
"190369",NaN,NaN,NaN,35,NaN,NaN,NaN,NaN,NaN,NaN
"190374",NaN,NaN,NaN,NaN,NaN,NaN,500,NaN,NaN,NaN
"190375",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,125,NaN
"190376",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,513,NaN
"190380",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2227,NaN
"190381",NaN,257,NaN,NaN,NaN,NaN,NaN,1842,290,NaN
"190386",NaN,220,NaN,NaN,32,1326,NaN,NaN,NaN,NaN
"190387",NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN
"190388",NaN,NaN,NaN,NaN,98,222,NaN,NaN,NaN,508
"190390",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,923
"190392",NaN,NaN,NaN,NaN,NaN,NaN,1244,NaN,NaN,NaN
"190393",NaN,NaN,NaN,45,NaN,NaN,68,183,NaN,NaN
"190394",16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190395",NaN,NaN,700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190398",NaN,NaN,146,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190400",NaN,NaN,112,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190402",NaN,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190403",NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN
"190408",NaN,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN
"190409",NaN,NaN,NaN,NaN,NaN,NaN,659,NaN,116,493
"190410",NaN,NaN,NaN,NaN,NaN,NaN,54,85,NaN,NaN
"190411",NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190412",NaN,NaN,102,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190413",NaN,NaN,NaN,NaN,NaN,NaN,NaN,380,NaN,NaN
"190414",NaN,NaN,NaN,NaN,NaN,254,NaN,NaN,NaN,157
"190415",NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190416",NaN,26,NaN,NaN,57,NaN,NaN,NaN,NaN,NaN
"190418",562,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,4135
"190420",61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190421",NaN,30,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN
"190422",267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190424",103,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190426",NaN,NaN,NaN,NaN,NaN,NaN,43,NaN,52,NaN
"190427",NaN,NaN,NaN,NaN,NaN,120,NaN,84,NaN,NaN
"190429",NaN,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190430",NaN,NaN,NaN,NaN,150,NaN,NaN,NaN,NaN,NaN
"190434",NaN,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190436",26,10,79,8,NaN,NaN,24,44,NaN,427
"190437",NaN,50,NaN,NaN,73,72,NaN,NaN,28,NaN
"190438",NaN,NaN,NaN,NaN,NaN,NaN,NaN,36,NaN,NaN
"190439",NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190441",NaN,5,NaN,45,NaN,NaN,NaN,NaN,NaN,NaN
"190446",NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190447",NaN,NaN,NaN,NaN,39,NaN,NaN,NaN,NaN,NaN
"190455",NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190464",NaN,NaN,428,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190465",NaN,NaN,NaN,NaN,NaN,NaN,69,38,NaN,NaN
"190469",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,119,NaN
"190471",NaN,NaN,NaN,165,NaN,NaN,NaN,NaN,NaN,NaN
"190474",NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190491",NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,NaN,NaN
"190496",NaN,NaN,NaN,NaN,NaN,NaN,24,NaN,NaN,NaN
"190497",1219,NaN,673,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190498",NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190499",NaN,NaN,NaN,NaN,NaN,2542,NaN,NaN,NaN,NaN
"190501",NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190503",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,776,2008
"190504",NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN
"190505",NaN,NaN,NaN,NaN,NaN,194,NaN,NaN,NaN,NaN
"190517",NaN,NaN,237,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190521",NaN,NaN,NaN,NaN,NaN,26,NaN,43,NaN,NaN
"190525",NaN,NaN,NaN,NaN,663,NaN,NaN,NaN,NaN,NaN
"190529",NaN,NaN,NaN,NaN,NaN,NaN,139,NaN,NaN,NaN
"190530",NaN,6,200,NaN,NaN,NaN,NaN,NaN,NaN,1833
"190533",NaN,NaN,NaN,NaN,31,72,NaN,NaN,NaN,NaN
"190534",250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190538",NaN,NaN,NaN,NaN,NaN,211,NaN,NaN,NaN,NaN
"190539",NaN,NaN,NaN,NaN,170,NaN,NaN,NaN,NaN,NaN
"190542",150,NaN,NaN,NaN,NaN,35,NaN,NaN,NaN,NaN
"190543",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN
"190545",NaN,NaN,679,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190546",NaN,NaN,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190547",NaN,NaN,567,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190549",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,691,NaN
"190550",NaN,166,NaN,NaN,NaN,NaN,NaN,NaN,980,NaN
"190555",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1004,NaN,NaN
"190557",NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190559",NaN,NaN,559,NaN,540,NaN,NaN,NaN,NaN,NaN
"190561",NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,NaN,NaN
"190562",NaN,NaN,NaN,469,NaN,72,NaN,NaN,NaN,NaN
"190564",NaN,NaN,NaN,NaN,NaN,NaN,475,NaN,NaN,5345
"190567",NaN,NaN,NaN,187,NaN,NaN,NaN,NaN,NaN,NaN
"190576",19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190580",NaN,NaN,2683,NaN,NaN,NaN,NaN,NaN,NaN,1176
"190581",130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,770
"190583",NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190584",NaN,NaN,NaN,NaN,NaN,NaN,126,NaN,NaN,NaN
"190588",NaN,NaN,NaN,NaN,NaN,NaN,114,NaN,NaN,NaN
"190589",NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,NaN,NaN
"190591",NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,3485
"190592",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,300
"190597",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN
"190602",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3339
"190606",NaN,NaN,NaN,NaN,274,NaN,NaN,NaN,NaN,NaN
"190610",NaN,105,87,NaN,NaN,NaN,NaN,68,NaN,23
"190611",3,1,NaN,5,5,8,47,NaN,9,NaN
"190612",31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190614",NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190616",NaN,NaN,NaN,NaN,125,NaN,NaN,NaN,NaN,NaN
"190618",NaN,NaN,NaN,NaN,NaN,NaN,NaN,588,NaN,NaN
"190619",NaN,NaN,NaN,NaN,NaN,NaN,45,NaN,NaN,NaN
"190620",NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN
"190621",NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,NaN,NaN
"190626",NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN
"190627",35,764,107,NaN,NaN,540,267,NaN,NaN,1060
"190628",NaN,NaN,NaN,NaN,NaN,201,NaN,NaN,NaN,NaN
"190629",NaN,NaN,NaN,NaN,5000,NaN,NaN,NaN,NaN,NaN
"190630",NaN,NaN,NaN,NaN,250,NaN,NaN,NaN,NaN,NaN
"190631",NaN,40,NaN,NaN,395,NaN,NaN,NaN,NaN,NaN
"190632",NaN,744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190634",NaN,104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190636",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,239,NaN
"190637",NaN,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190638",64,NaN,NaN,NaN,92,3146,65,118,116,3700
"190639",NaN,5,NaN,NaN,653,775,3057,2970,NaN,2753
"190641",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,396
"190642",NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190643",NaN,26,163,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190644",NaN,NaN,NaN,NaN,200,NaN,NaN,195,NaN,NaN
"190645",NaN,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190648",NaN,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190650",NaN,295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190651",NaN,58,NaN,NaN,NaN,179,NaN,NaN,NaN,363
"190652",NaN,NaN,125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190654",NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN
"190657",NaN,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190659",NaN,NaN,NaN,48,NaN,NaN,NaN,NaN,NaN,NaN
"190660",NaN,NaN,200,NaN,NaN,137,NaN,100,NaN,NaN
"190661",NaN,NaN,400,NaN,250,NaN,56,NaN,NaN,NaN
"190662",NaN,NaN,200,NaN,NaN,NaN,NaN,NaN,582,370
"190663",NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190664",NaN,NaN,105,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190668",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1146
"190671",NaN,NaN,NaN,NaN,318,NaN,NaN,NaN,NaN,NaN
"190672",59,42,NaN,NaN,NaN,136,NaN,NaN,66,NaN
"190674",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,429,NaN
"190675",NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN
"190676",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16680
"190679",NaN,NaN,NaN,NaN,NaN,NaN,56,NaN,NaN,NaN
"190680",NaN,33,NaN,NaN,28,NaN,NaN,NaN,NaN,NaN
"190682",NaN,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190684",NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN
"190685",NaN,NaN,NaN,NaN,NaN,270,NaN,NaN,NaN,373
"190687",NaN,NaN,NaN,NaN,250,NaN,NaN,NaN,NaN,NaN
"190690",NaN,NaN,NaN,NaN,160,NaN,NaN,NaN,NaN,NaN
"190691",NaN,NaN,NaN,NaN,NaN,NaN,NaN,102,NaN,NaN
"190692",59,NaN,NaN,NaN,1126,NaN,1500,NaN,NaN,NaN
"190695",NaN,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,379
"190696",NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN
"190697",NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN
"190698",NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN
"190699",35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190701",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,440
"190702",NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,11783
"190703",NaN,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5300
"190704",NaN,NaN,NaN,NaN,NaN,177,NaN,NaN,NaN,NaN
"190705",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2320
"190706",NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,NaN,NaN
"190707",NaN,NaN,NaN,NaN,350,NaN,NaN,NaN,NaN,NaN
"190709",NaN,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190710",NaN,NaN,37,NaN,NaN,NaN,94,NaN,NaN,NaN
"190711",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103,1075
"190712",16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190714",NaN,NaN,NaN,NaN,NaN,162,NaN,NaN,NaN,4182
"190715",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3115
"190717",86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190718",NaN,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190720",NaN,130,202,NaN,NaN,2048,1583,2695,NaN,2673
"190722",NaN,NaN,NaN,NaN,NaN,755,NaN,NaN,NaN,NaN
"190723",NaN,NaN,NaN,27,NaN,NaN,NaN,NaN,NaN,NaN
"190724",1194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190725",664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190726",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3384
"190728",NaN,NaN,NaN,25,NaN,NaN,NaN,NaN,NaN,NaN
"190730",NaN,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190734",NaN,16,NaN,74,NaN,NaN,219,NaN,NaN,NaN
"190735",NaN,NaN,306,86,127,NaN,NaN,NaN,127,540
"190737",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4669
"190739",NaN,128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190740",NaN,NaN,NaN,NaN,NaN,400,NaN,NaN,NaN,NaN
"190743",NaN,NaN,172,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190744",NaN,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190746",NaN,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190750",NaN,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190752",NaN,NaN,NaN,NaN,NaN,163,NaN,NaN,NaN,NaN
"190755",NaN,NaN,NaN,NaN,405,NaN,NaN,NaN,NaN,644
"190756",81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190757",NaN,29,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN
"190758",NaN,NaN,NaN,NaN,NaN,NaN,NaN,160,NaN,NaN
"190759",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,116,NaN
"190760",NaN,NaN,237,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190764",NaN,29,580,NaN,NaN,NaN,100,NaN,NaN,NaN
"190765",NaN,432,98,NaN,454,NaN,NaN,NaN,NaN,330
"190767",41,NaN,NaN,41,NaN,255,NaN,NaN,NaN,NaN
"190768",NaN,NaN,413,1,NaN,NaN,NaN,NaN,NaN,NaN
"190770",NaN,NaN,NaN,NaN,NaN,76,53,91,NaN,NaN
"190771",NaN,244,NaN,NaN,NaN,NaN,NaN,NaN,59,NaN
"190772",NaN,NaN,NaN,NaN,1397,NaN,NaN,NaN,NaN,NaN
"190773",NaN,NaN,NaN,NaN,204,NaN,NaN,NaN,NaN,NaN
"190774",NaN,NaN,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190775",NaN,NaN,64,NaN,94,303,NaN,NaN,NaN,3198
"190777",NaN,NaN,NaN,95,NaN,130,NaN,NaN,NaN,3829
"190778",43,24,NaN,42,NaN,NaN,NaN,NaN,NaN,1450
"190779",NaN,NaN,1006,85,NaN,NaN,NaN,NaN,NaN,NaN
"190780",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN
"190781",NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190782",NaN,NaN,NaN,NaN,NaN,NaN,1135,90,NaN,NaN
"190783",NaN,140,101,NaN,NaN,NaN,209,NaN,57,NaN
"190784",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,335
"190785",NaN,128,NaN,NaN,713,NaN,NaN,NaN,NaN,321
"190786",NaN,NaN,556,NaN,NaN,124,NaN,NaN,NaN,322
"190788",NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190789",38,NaN,NaN,39,NaN,NaN,NaN,NaN,NaN,NaN
"190790",NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190792",NaN,7,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN
"190793",NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190795",NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190796",NaN,3,101,216,1021,100,NaN,161,46,263
"190797",13,NaN,NaN,220,NaN,NaN,41,NaN,NaN,NaN
"190798",NaN,6,NaN,451,NaN,NaN,NaN,NaN,NaN,NaN
"190799",NaN,5,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN
"190801",5,5,29,19,140,20,NaN,11,NaN,49
"190804",NaN,10,NaN,5,NaN,NaN,12,11,NaN,NaN
"190805",NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,15,NaN
"190806",5,7,16,NaN,NaN,20,NaN,2000,NaN,45
"190809",NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190810",NaN,NaN,NaN,NaN,110,NaN,NaN,NaN,NaN,NaN
"190811",NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
"190813",NaN,NaN,NaN,511,NaN,NaN,NaN,NaN,NaN,86
"190814",NaN,NaN,NaN,1262,NaN,NaN,NaN,NaN,NaN,NaN
"190822",53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190824",NaN,NaN,NaN,NaN,601,NaN,NaN,NaN,NaN,NaN
"190836",NaN,NaN,400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190837",NaN,NaN,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190838",NaN,NaN,400,NaN,NaN,NaN,NaN,NaN,NaN,533
"190839",NaN,NaN,NaN,NaN,73,NaN,NaN,1500,NaN,NaN
"190841",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,295
"190842",NaN,NaN,127,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190845",NaN,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190852",17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190853",NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190857",NaN,NaN,NaN,NaN,NaN,NaN,NaN,132,NaN,NaN
"190858",NaN,NaN,NaN,NaN,NaN,NaN,790,NaN,NaN,NaN
"190860",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4891
"190861",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1805
"190863",158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190864",NaN,NaN,NaN,64,NaN,558,1500,NaN,NaN,NaN
"190865",NaN,NaN,2,80,NaN,NaN,2318,NaN,NaN,NaN
"190866",NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN
"190867",NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN
"190871",NaN,NaN,NaN,NaN,36,NaN,NaN,NaN,NaN,2800
"190879",NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190881",16,NaN,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190884",NaN,NaN,876,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190888",NaN,NaN,NaN,NaN,NaN,NaN,NaN,44,NaN,NaN
"190890",NaN,269,NaN,NaN,NaN,NaN,25,NaN,NaN,NaN
"190891",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN
"190894",NaN,NaN,NaN,NaN,NaN,293,239,NaN,NaN,700
"190896",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44,NaN
"190897",NaN,NaN,200,NaN,NaN,NaN,1000,NaN,NaN,NaN
"190903",NaN,NaN,NaN,NaN,NaN,NaN,441,NaN,NaN,NaN
"190905",NaN,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190906",NaN,NaN,NaN,NaN,647,35,NaN,NaN,NaN,NaN
"190908",NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190909",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1200,NaN,NaN
"190910",107,173,602,51,333,2692,2414,1160,NaN,3212
"190912",NaN,39,NaN,NaN,NaN,NaN,NaN,231,NaN,NaN
"190913",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,430,NaN
"190915",19,NaN,163,NaN,NaN,NaN,NaN,NaN,NaN,348
"190920",NaN,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190925",NaN,NaN,NaN,NaN,1931,NaN,NaN,NaN,NaN,NaN
"190927",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,746,NaN
"190935",NaN,NaN,624,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190937",NaN,45,28,NaN,NaN,12,NaN,NaN,NaN,NaN
"190940",NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN
"190941",NaN,NaN,NaN,NaN,NaN,NaN,NaN,1770,NaN,NaN
"190943",NaN,NaN,NaN,NaN,NaN,NaN,NaN,205,NaN,NaN
"190947",18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190949",NaN,2314,NaN,NaN,NaN,NaN,NaN,676,NaN,2028
"190950",30,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190951",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,658
"190952",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6500
"190954",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,654
"190955",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9949
"190958",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57,NaN
"190960",NaN,NaN,200,NaN,NaN,NaN,NaN,NaN,NaN,2247
"190961",140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190963",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,900
"190965",NaN,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190968",NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190969",2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"190970",NaN,NaN,35,NaN,NaN,NaN,NaN,400,3,NaN
"190974",457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3487
"190977",NaN,NaN,NaN,NaN,228,NaN,NaN,NaN,NaN,628
"190980",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40927
"190981",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5348
"190982",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5746
"190983",62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2099
"190984",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1461
"190985",NaN,NaN,NaN,NaN,NaN,352,255,NaN,NaN,NaN
"190986",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2771
"190988",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5511
"190990",NaN,NaN,NaN,198,NaN,NaN,NaN,NaN,NaN,10273
"190991",NaN,NaN,NaN,309,NaN,515,NaN,NaN,NaN,4015
"190993",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1597
"190994",NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,6212
"190995",NaN,NaN,NaN,NaN,NaN,NaN,4420,1619,NaN,7168
"190996",NaN,NaN,NaN,NaN,NaN,NaN,NaN,250,NaN,6432
"190997",NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN
"190998",NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN
"190999",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5152
"191000",NaN,NaN,NaN,NaN,NaN,11,NaN,NaN,NaN,1970
"191001",NaN,NaN,31,NaN,NaN,NaN,NaN,NaN,NaN,1250
"191003",NaN,NaN,NaN,NaN,NaN,NaN,54,NaN,NaN,2366
"191004",NaN,NaN,NaN,NaN,19,NaN,NaN,NaN,NaN,NaN
"191005",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,311,NaN
"191007",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3132
"191008",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16037
"191009",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2821
"191011",NaN,NaN,NaN,NaN,NaN,NaN,663,NaN,NaN,4727
"191012",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4654
"191014",NaN,2,NaN,NaN,NaN,NaN,305,NaN,NaN,NaN
